filepath,cluster
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_323.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_324.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_325.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_326.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_327.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_328.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_329.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_33.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_330.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_331.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_332.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_333.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_334.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_335.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_336.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_337.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_338.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_339.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_34.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_340.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_341.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_342.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_343.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_344.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_345.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_346.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_347.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_348.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_349.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_35.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_350.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_351.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_352.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_353.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_354.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_355.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_356.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_357.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_358.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_359.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_36.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_360.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_361.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_362.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_363.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_364.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_365.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_366.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_367.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_368.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_369.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_37.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_370.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_371.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_372.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_373.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_374.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_375.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_376.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_377.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_378.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_379.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_38.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_380.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_381.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_382.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_383.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_384.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_385.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_386.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_387.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_388.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_389.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_39.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_390.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_391.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_392.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_393.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_394.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_395.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_396.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_397.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_398.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_399.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_4.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_40.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_400.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_401.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_402.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_403.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_404.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_405.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_406.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_407.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_408.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_409.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_41.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_410.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_411.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_412.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_413.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_414.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_415.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_416.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_417.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_418.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_419.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_42.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_420.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_421.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_422.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_423.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_424.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_425.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_426.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_427.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_428.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_429.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_43.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_430.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_431.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_432.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_433.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_434.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_435.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_436.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_437.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_438.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_439.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_44.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_440.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_441.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_442.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_443.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_444.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_445.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_446.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_447.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_448.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_449.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_45.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_450.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_451.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_452.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_453.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_454.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_455.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_456.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_457.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_458.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_459.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_46.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_460.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_461.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_462.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_463.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_464.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_465.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_466.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_467.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_468.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_469.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_47.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_470.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_471.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_472.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_473.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_474.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_475.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_476.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_477.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_478.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_479.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_48.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_480.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_481.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_482.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_483.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_484.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_485.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_486.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_487.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_488.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_489.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_49.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_490.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_491.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_492.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_493.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_494.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_495.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_496.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_497.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_498.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_499.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_5.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_50.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_500.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_51.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_52.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_53.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_54.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_55.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_56.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_57.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_58.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_59.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_6.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_60.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_61.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_62.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_63.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_64.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_65.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_66.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_67.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_68.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_69.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_7.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_70.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_71.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_72.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_73.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_74.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_75.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_76.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_77.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_78.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_79.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_8.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_80.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_81.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_82.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_83.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_84.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_85.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_86.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_87.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_88.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_89.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_9.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_90.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_91.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_92.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_922.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_923.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_924.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_93.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_94.jpg,4
